Customer ID,Recency,Frequency,Monetary,Cluster
AA-10315,185,5,5563.56,1
AA-10375,20,9,1056.39,0
AA-10480,260,4,1790.5120000000002,1
AA-10645,56,6,5086.935,0
AB-10015,416,3,886.156,3
AB-10060,55,8,7755.62,2
AB-10105,42,10,14473.570999999998,2
AB-10150,42,5,966.71,1
AB-10165,26,8,1113.838,0
AB-10255,167,9,914.532,0
AB-10600,51,4,1515.862,1
AC-10420,233,3,925.8,1
AC-10450,12,7,5527.846,0
AC-10615,7,5,2537.686,1
AC-10660,283,5,657.316,1
AD-10180,30,8,6106.88,0
AF-10870,42,7,2052.908,0
AF-10885,416,4,861.565,3
AG-10270,279,5,2582.898,1
AG-10300,119,4,367.548,1
AG-10330,9,5,660.972,1
AG-10390,115,5,200.945,1
AG-10495,79,8,2356.855,0
AG-10525,846,4,1455.038,3
AG-10675,98,7,3489.0396000000005,0
AG-10765,78,4,170.584,1
AG-10900,97,10,4510.797,0
AH-10030,13,7,1744.7,0
AH-10075,35,10,3250.337,0
AH-10120,61,7,1735.514,0
AH-10195,56,4,1587.452,1
AH-10210,7,9,4805.344,0
AH-10465,231,5,2495.3916,1
AH-10585,22,4,738.504,1
AH-10690,411,12,7888.294,2
AI-10855,14,10,4375.786,0
AJ-10780,76,7,4867.344,0
AJ-10795,167,7,4501.391,0
AJ-10945,86,7,1839.24,0
AJ-10960,75,3,629.2479999999999,1
AM-10360,29,5,814.012,1
AM-10705,163,8,5664.022,0
AO-10810,502,1,161.28,3
AP-10720,42,8,1638.554,0
AP-10915,99,10,3323.556,0
AR-10345,112,4,1055.694,1
AR-10405,126,5,2236.128,1
AR-10510,15,5,264.86400000000003,1
AR-10540,7,6,6608.448,2
AR-10570,535,1,88.15,3
AR-10825,59,8,4523.336,0
AS-10045,89,7,3050.692,0
AS-10090,29,9,3255.31,0
AS-10135,42,2,58.82,1
AS-10225,23,5,4260.784,1
AS-10240,193,7,584.6080000000001,1
AS-10285,20,6,3214.236,1
AS-10630,93,7,833.398,1
AT-10435,22,6,1171.814,1
AT-10735,14,10,3831.864,0
AW-10840,21,4,649.376,1
AW-10930,47,7,2852.968,0
AY-10555,15,4,497.014,1
AZ-10750,161,6,1622.0179999999998,1
BB-10990,106,5,744.3399999999999,1
BB-11545,29,9,6765.728,2
BC-11125,203,9,2933.676,0
BD-11320,34,12,5718.521,0
BD-11500,36,6,4411.243,0
BD-11560,279,2,320.54,1
BD-11605,98,7,3288.471,0
BD-11620,70,6,1538.11,1
BD-11635,10,3,582.646,1
BD-11725,94,6,1526.5,1
BD-11770,328,6,658.466,1
BE-11335,120,5,4204.676,1
BE-11410,99,5,2261.438,1
BE-11455,255,6,1727.652,1
BF-10975,92,7,599.798,1
BF-11005,40,4,1333.88,1
BF-11020,75,8,2888.506,0
BF-11080,26,3,272.95,1
BF-11170,17,11,5907.972,0
BF-11215,66,4,1585.162,1
BF-11275,58,3,791.9899999999999,1
BG-11035,29,8,2798.948,0
BG-11695,37,6,1874.172,1
BG-11740,58,6,1006.356,1
BH-11710,24,8,6255.351,0
BK-11260,78,6,659.1379999999999,1
BM-11140,308,4,11789.63,2
BM-11575,101,6,808.162,1
BM-11650,34,11,7294.185,2
BM-11785,219,10,1338.842,0
BN-11470,25,4,265.296,1
BN-11515,10,5,1459.344,1
BO-11350,138,5,2682.728,1
BO-11425,76,2,130.83,1
BP-11050,84,5,983.42,1
BP-11095,18,12,2442.044,0
BP-11155,90,6,1697.861,1
BP-11185,2,9,3675.861,0
BP-11230,40,5,1181.49,1
BP-11290,13,7,2475.157,0
BS-11365,559,5,10501.653,2
BS-11380,29,5,3887.834,1
BS-11590,36,6,2454.928,1
BS-11665,583,3,3288.11,3
BS-11755,2,7,2562.382,0
BS-11800,266,2,949.43,1
BT-11305,337,5,2567.656,1
BT-11395,303,6,2186.6130000000003,1
BT-11440,561,4,603.876,3
BT-11485,660,2,415.196,3
BT-11530,92,5,2684.492,1
BT-11680,21,7,3196.752,0
BV-11245,335,5,1523.273,1
BW-11065,213,3,385.516,1
BW-11110,122,8,4750.358,0
BW-11200,204,6,1738.406,1
CA-11965,97,6,3789.7228,1
CA-12055,402,5,1679.7240000000002,3
CA-12265,57,9,2648.2872,0
CA-12310,14,4,1421.954,1
CA-12775,121,7,3041.566,0
CB-12025,48,10,6076.139,0
CB-12415,27,8,1949.2,0
CB-12535,198,8,4246.4555,0
CC-12100,458,6,1770.945,3
CC-12145,107,7,2471.65,0
CC-12220,21,12,3913.418,0
CC-12370,44,5,12129.072000000002,2
CC-12430,1,10,2870.05,0
CC-12475,40,9,1659.438,0
CC-12550,28,3,113.832,1
CC-12610,35,7,2540.631,0
CC-12670,30,7,2269.7015,0
CC-12685,800,4,2854.115,3
CD-11920,41,5,2033.968,1
CD-11980,55,3,639.766,1
CD-12280,43,2,1205.584,1
CD-12790,400,5,1860.732,3
CG-12040,50,6,904.468,1
CG-12520,339,3,1148.7800000000002,3
CH-12070,692,3,1537.236,3
CJ-11875,366,1,16.52,3
CJ-12010,190,8,11164.974,2
CK-12205,40,13,3154.855,0
CK-12325,121,5,2945.321,1
CK-12595,44,11,2372.75,0
CK-12760,83,9,1582.109,0
CL-11890,107,4,1262.014,1
CL-12565,285,12,10880.546,2
CL-12700,106,5,2353.586,1
CM-11815,132,6,1673.888,1
CM-11935,709,2,565.392,3
CM-12115,9,4,1661.61,1
CM-12160,27,6,2533.314,1
CM-12190,9,6,1475.144,1
CM-12235,386,5,2305.712,3
CM-12385,38,4,8954.019999999999,2
CM-12445,437,3,287.99,3
CM-12655,28,6,6339.5576,0
CM-12715,1036,4,3984.4524,3
CP-12085,83,8,5402.254,0
CP-12340,161,8,5888.275,0
CR-12580,58,4,2148.852,1
CR-12625,471,3,475.9,3
CR-12730,79,4,1600.55,1
CR-12820,86,3,1397.8724,1
CS-11845,92,5,1278.954,1
CS-11860,163,6,537.632,1
CS-11950,26,11,3036.547,0
CS-12130,490,4,884.64,3
CS-12175,233,5,844.4580000000001,1
CS-12250,27,12,2754.216,0
CS-12355,7,11,3202.1620000000003,0
CS-12400,3,9,3651.8585,0
CS-12460,28,2,550.644,1
CS-12490,425,4,1077.2285,3
CS-12505,59,6,5690.054999999999,0
CT-11995,97,8,3241.898,0
CV-12295,255,5,2830.628,1
CV-12805,6,9,2370.3136,0
CW-11905,23,6,1136.592,1
CY-12745,61,8,2900.026,0
Co-12640,550,5,1300.076,3
DA-13450,353,4,156.76,3
DB-12910,22,8,2171.599,0
DB-12970,242,5,2839.2272,1
DB-13060,17,7,4531.646,0
DB-13120,49,7,2973.094,0
DB-13210,10,10,2332.577,0
DB-13270,54,8,4655.897,0
DB-13360,265,5,1081.466,1
DB-13405,188,4,1711.692,1
DB-13555,108,7,3908.8028,0
DB-13615,34,7,1989.05,0
DB-13660,13,7,1155.202,1
DC-12850,38,9,3336.168,0
DC-13285,24,5,1174.618,1
DD-13570,42,6,269.542,1
DE-13255,720,5,2550.874,3
DF-13135,701,3,2390.534,3
DG-13300,33,5,3195.818,1
DH-13075,278,6,4932.872,0
DH-13675,777,4,1043.096,3
DJ-13420,638,4,2012.52,3
DJ-13510,49,8,2501.688,0
DJ-13630,13,3,3356.398,1
DK-12835,22,12,3256.48,0
DK-12895,46,5,4282.176,1
DK-12985,8,5,1687.04,1
DK-13090,43,7,2650.557,0
DK-13150,11,2,797.832,1
DK-13225,11,9,4802.394,0
DK-13375,20,8,3318.486,0
DL-12865,101,8,1503.112,0
DL-12925,58,6,3272.2,1
DL-13315,23,8,1458.258,0
DL-13330,58,4,585.02,1
DL-13495,77,8,3539.322,0
DM-12955,115,7,1322.034,1
DM-13015,58,7,6345.103,0
DM-13345,23,8,4074.472,0
DM-13525,482,3,1376.792,3
DN-13690,218,7,2139.79,0
DO-13435,134,9,1300.0315,0
DO-13645,27,7,1267.316,1
DP-13000,127,9,1050.636,0
DP-13105,7,8,2215.002,0
DP-13165,813,2,1058.616,3
DP-13390,359,9,5480.723999999999,0
DR-12880,4,9,6528.034000000001,0
DR-12940,51,8,8350.868,2
DS-13030,94,4,1762.213,1
DS-13180,24,9,2881.8128,0
DV-13045,20,5,1119.483,1
DV-13465,30,6,3341.587,1
DW-13195,70,6,1080.751,1
DW-13480,218,5,5271.628,1
DW-13540,99,5,344.08,1
DW-13585,243,7,1204.854,1
Dl-13600,120,5,755.602,1
Dp-13240,85,11,7198.761,2
EA-14035,153,13,2846.705,0
EB-13705,49,9,3644.978,0
EB-13750,36,10,3236.314,0
EB-13840,91,5,4358.128,1
EB-13870,101,10,2767.219,0
EB-13930,162,5,944.6,1
EB-13975,1,4,1643.255,1
EB-14110,114,6,3071.126,1
EB-14170,83,6,1186.326,1
EC-14050,54,5,461.914,1
ED-13885,136,8,3484.92,0
EG-13900,23,5,1832.02,1
EH-13765,136,12,10310.88,2
EH-13945,218,8,684.1709999999999,0
EH-13990,406,6,825.9499999999999,3
EH-14005,3,7,1219.53,1
EH-14125,153,10,3082.653,0
EH-14185,106,6,923.884,1
EJ-13720,303,4,2162.174,1
EJ-14155,58,5,2656.691,1
EK-13795,45,4,1303.478,1
EL-13735,78,2,124.28,1
EM-13810,133,5,2567.01,1
EM-13825,56,8,2339.598,0
EM-13960,152,5,933.704,1
EM-14065,48,4,228.99,1
EM-14095,114,4,1041.042,1
EM-14140,49,6,4588.436000000001,0
EM-14200,159,3,366.822,1
EN-13780,288,4,2199.366,1
EP-13915,13,17,5478.0608,0
ER-13855,422,3,1245.788,3
ES-14020,41,5,3510.458,1
ES-14080,29,9,4657.924,0
FA-14230,98,7,2984.054,0
FC-14245,71,7,3418.742,0
FC-14335,185,7,3889.366,0
FG-14260,35,7,1383.144,0
FH-14275,38,10,4256.272,0
FH-14350,213,4,2271.284,1
FH-14365,6,8,6987.196,2
FM-14215,8,10,2456.638,0
FM-14290,37,9,3736.198,0
FM-14380,146,9,2523.266,0
FO-14305,39,10,2678.438,0
FP-14320,24,8,4046.746,0
FW-14395,363,3,79.75,3
GA-14515,150,8,3919.776,0
GA-14725,6,11,1398.382,0
GB-14530,63,11,1568.44,0
GB-14575,14,5,4716.288,1
GD-14590,6,4,1888.07,1
GG-14650,44,9,2224.0,0
GH-14410,76,9,2819.467,0
GH-14425,51,4,4172.8460000000005,1
GH-14485,388,2,1361.244,3
GH-14665,3,2,146.94080000000002,1
GK-14620,113,9,6497.27,2
GM-14440,84,7,3582.82,0
GM-14455,17,6,3078.624,1
GM-14500,107,10,1255.682,0
GM-14680,153,6,3163.628,1
GM-14695,118,3,6049.966,1
GP-14740,766,2,236.53,3
GR-14560,1136,2,1284.38,3
GT-14635,57,3,9351.212,2
GT-14710,37,11,11820.12,2
GT-14755,35,4,226.436,1
GW-14605,29,7,2189.019,0
GZ-14470,8,9,4355.150000000001,0
GZ-14545,158,4,2454.6220000000003,1
HA-14905,70,7,2163.3,0
HA-14920,21,8,2584.158,0
HD-14785,770,3,251.36,3
HE-14800,13,4,883.5319999999999,1
HF-14995,22,7,2533.164,0
HG-14845,55,5,785.628,1
HG-14965,24,12,3247.642,0
HG-15025,7,7,3690.284,0
HH-15010,73,2,218.668,1
HJ-14875,127,5,358.1,1
HK-14890,152,8,4877.784,0
HL-15040,44,6,12873.298,2
HM-14860,3,10,8236.7648,2
HM-14980,248,4,736.276,1
HP-14815,31,7,1990.314,0
HR-14770,14,5,1299.288,1
HR-14830,160,7,5248.787,0
HW-14935,118,8,9300.254,2
HZ-14950,36,5,886.52,1
IG-15085,72,4,744.574,1
IL-15100,143,7,5040.736,0
IM-15055,410,3,2872.63,3
IM-15070,391,7,4930.474,0
JA-15970,93,8,6491.026,2
JB-15400,8,10,1791.605,0
JB-15925,738,3,900.552,3
JB-16000,44,7,644.1188,1
JB-16045,8,5,2518.115,1
JC-15340,115,4,71.263,1
JC-15385,176,1,1058.108,1
JC-15775,159,9,2772.055,0
JC-16105,58,5,858.576,1
JD-15790,118,5,2152.352,1
JD-15895,395,11,7610.864,2
JD-16015,113,6,385.43,1
JD-16060,301,3,695.442,1
JD-16150,42,8,8828.0305,2
JE-15475,194,6,1388.682,1
JE-15610,49,7,7754.976,2
JE-15715,47,10,8697.842999999999,2
JE-15745,52,13,6760.8150000000005,2
JE-16165,21,3,2697.248,1
JF-15190,66,7,2279.586,0
JF-15295,226,5,955.124,1
JF-15355,106,6,1911.844,1
JF-15415,3,6,2371.448,1
JF-15490,122,11,1082.918,0
JF-15565,55,8,4198.332,0
JG-15115,759,3,2358.676,3
JG-15160,2,11,6366.392,0
JG-15310,3,6,2240.58,1
JG-15805,224,6,1507.018,1
JH-15430,6,4,309.281,1
JH-15820,175,6,528.91,1
JH-15910,42,7,959.477,1
JH-15985,30,6,7954.998,2
JH-16180,405,4,2256.394,3
JJ-15445,484,5,709.178,3
JJ-15760,754,2,195.0,3
JK-15205,62,5,4427.142,1
JK-15325,288,3,383.812,1
JK-15370,45,8,2709.632,0
JK-15625,62,7,3760.028,0
JK-15640,181,9,4760.434,0
JK-15730,85,10,4867.2,0
JK-16090,29,3,3747.668,1
JK-16120,118,10,2932.484,0
JL-15130,9,6,1214.956,1
JL-15175,7,5,1571.523,1
JL-15235,120,5,2203.7,1
JL-15505,50,6,3173.874,1
JL-15835,22,11,9799.923,2
JL-15850,615,6,2725.256,3
JM-15250,38,6,3159.1220000000003,1
JM-15265,38,5,1804.146,1
JM-15535,103,7,1733.443,0
JM-15580,1,5,303.948,1
JM-15655,9,5,864.947,1
JM-15865,110,7,7625.076000000001,2
JM-16195,58,10,2833.9260000000004,0
JO-15145,58,9,3254.949,0
JO-15280,93,6,1934.272,1
JO-15550,216,5,1090.838,1
JP-15460,38,7,1669.135,0
JP-15520,9,7,3635.594,0
JP-16135,103,9,1707.71,0
JR-15670,594,2,1156.658,3
JR-15700,69,1,863.88,1
JR-16210,34,5,2201.686,1
JS-15595,120,4,1417.654,1
JS-15685,43,4,1131.064,1
JS-15880,535,5,3868.02,3
JS-15940,464,5,469.169,3
JS-16030,29,6,2516.494,1
JW-15220,43,6,7721.714,2
JW-15955,6,7,1244.086,1
JW-16075,462,4,1428.731,3
KA-16525,37,7,1519.506,0
KB-16240,5,7,3152.615,0
KB-16315,297,9,1569.464,0
KB-16405,118,3,908.821,1
KB-16585,231,12,2744.742,0
KB-16600,2,7,983.922,1
KC-16255,408,6,2120.954,3
KC-16540,98,4,3908.262,1
KC-16675,58,4,1146.05,1
KD-16270,485,5,8282.358,2
KD-16345,42,6,1888.964,1
KD-16495,113,12,8181.256,2
KD-16615,290,5,2243.51,1
KE-16420,27,8,1686.7312,0
KF-16285,98,7,10604.266,2
KH-16330,41,8,3312.864,0
KH-16360,2,6,3100.612,1
KH-16510,23,7,5952.859,0
KH-16630,59,9,3918.966,0
KH-16690,3,7,5990.799,0
KL-16555,17,8,5016.488,0
KL-16645,48,12,14175.229,2
KM-16225,15,6,2260.958,1
KM-16375,57,8,5620.186,0
KM-16660,16,5,453.538,1
KM-16720,29,8,4909.472,0
KN-16390,20,9,2617.272,0
KN-16450,53,5,2171.962,1
KN-16705,99,8,2280.58,0
KS-16300,296,3,88.472,1
KT-16465,392,7,3057.1,3
KT-16480,101,10,4642.088400000001,0
KW-16435,97,5,4416.52,1
KW-16570,772,4,449.096,3
LA-16780,155,11,8673.222,2
LB-16735,49,3,50.188,1
LB-16795,153,8,4985.676,0
LC-16870,28,8,2580.704,0
LC-16885,17,12,7663.126,2
LC-16930,42,8,4492.946,0
LC-16960,437,4,3246.626,3
LC-17050,55,5,2095.064,1
LC-17140,14,9,2633.582,0
LD-16855,553,1,5.304,3
LD-17005,415,4,1961.934,3
LE-16810,22,6,1469.45,1
LF-17185,23,7,3930.509,0
LH-16750,152,3,287.426,1
LH-16900,22,9,2295.332,0
LH-17020,240,4,318.239,1
LH-17155,386,9,1739.689,0
LL-16840,250,6,2741.204,1
LM-17065,392,5,1346.774,3
LO-17170,3,5,644.35,1
LP-17080,41,4,756.606,1
LP-17095,10,7,3653.399,0
LR-16915,27,6,5142.892,0
LR-17035,133,5,1879.306,1
LS-16945,179,6,2845.27,1
LS-16975,21,9,2988.674,0
LS-17200,97,6,1010.256,1
LS-17230,778,3,368.88000000000005,3
LS-17245,35,6,1008.136,1
LT-16765,27,3,329.876,1
LT-17110,35,8,2936.252,0
LW-16825,89,5,2238.061,1
LW-16990,34,6,3230.308,1
LW-17125,206,3,1259.04,1
LW-17215,22,7,5420.514,0
MA-17560,65,11,4299.161,0
MA-17995,187,6,2453.284,1
MB-17305,49,10,1548.702,0
MB-18085,45,7,1428.231,0
MC-17275,77,8,2725.982,0
MC-17425,400,5,4432.138,3
MC-17575,28,8,1303.893,0
MC-17590,52,6,2426.067,1
MC-17605,113,8,2258.192,0
MC-17635,190,4,795.154,1
MC-17845,2,7,3805.714,0
MC-18100,42,10,2218.98,0
MC-18130,370,5,1581.9979999999998,3
MD-17350,118,7,3766.382,0
MD-17860,37,5,1204.91,1
ME-17320,43,10,10663.728,2
ME-17725,29,8,1908.4532,0
ME-18010,93,4,1256.944,1
MF-17665,422,5,937.039,3
MF-18250,8,5,1758.3,1
MG-17650,30,7,3785.276,0
MG-17680,93,4,2350.188,1
MG-17695,556,3,1342.282,3
MG-17875,117,5,1242.833,1
MG-17890,100,9,776.384,0
MG-18145,85,4,3061.543,1
MG-18205,265,1,16.739,1
MH-17290,120,6,2394.025,1
MH-17440,377,4,400.016,3
MH-17455,86,8,2456.182,0
MH-17620,156,4,1252.8,1
MH-17785,99,7,2203.778,0
MH-18025,50,5,2984.948,1
MH-18115,6,9,5503.093,0
MJ-17740,23,7,6320.746,0
MK-17905,29,8,2302.368,0
MK-18160,241,4,1031.602,1
ML-17395,70,9,2722.843,0
ML-17410,55,6,2921.5,1
ML-17755,30,7,2071.914,0
ML-18040,80,3,742.082,1
ML-18265,101,2,162.232,1
MM-17260,169,4,1314.023,1
MM-17920,8,11,3794.08,0
MM-18055,62,8,2749.881,0
MM-18280,86,9,775.414,0
MN-17935,35,6,2477.946,1
MO-17500,73,4,922.487,1
MO-17800,105,8,1687.0269999999998,0
MO-17950,181,2,154.288,1
MP-17470,720,7,3206.132,3
MP-17965,73,9,3983.642,0
MP-18175,17,9,5087.92,0
MR-17545,126,4,639.178,1
MS-17365,274,10,7443.69,2
MS-17530,435,4,475.656,3
MS-17710,414,6,1613.402,3
MS-17770,122,9,3144.678,0
MS-17830,453,4,370.348,3
MS-17980,27,6,855.116,1
MT-17815,50,6,2890.139,1
MT-18070,204,4,1319.4498,1
MV-17485,28,9,1560.05,0
MV-18190,20,7,1734.574,0
MW-18220,18,7,5341.900000000001,0
MW-18235,45,2,5253.876,1
MY-17380,30,7,2254.285,0
MY-18295,72,11,4152.696,0
MZ-17335,31,4,593.606,1
MZ-17515,283,6,2564.906,1
NB-18580,1166,2,273.872,3
NB-18655,20,9,1972.599,0
NC-18340,225,5,2461.404,1
NC-18415,42,6,2218.99,1
NC-18535,7,7,8241.739,2
NC-18625,205,5,1821.742,1
ND-18370,28,9,4326.139,0
ND-18460,184,6,2893.455,1
NF-18385,80,7,8322.826,2
NF-18475,526,4,377.162,3
NF-18595,115,7,2031.472,0
NG-18355,49,5,1869.58,1
NG-18430,49,5,1395.938,1
NH-18610,190,7,2673.29,0
NK-18490,71,7,572.048,1
NL-18310,59,4,1418.09,1
NM-18445,161,7,6459.344,2
NM-18520,245,10,2161.979,0
NP-18325,26,6,5529.62,0
NP-18670,59,5,3908.402,1
NP-18685,407,6,1228.698,3
NP-18700,139,7,7903.1825,2
NR-18550,211,5,2367.277,1
NS-18505,7,4,2575.863,1
NS-18640,175,13,2964.823,0
NW-18400,173,7,7234.014,2
NZ-18565,86,9,2488.31,0
ON-18715,411,9,1567.52,0
OT-18730,66,5,3818.624,1
PA-19060,104,6,729.408,1
PB-18805,26,3,740.356,1
PB-19105,58,4,688.324,1
PB-19150,98,8,1456.95,0
PB-19210,689,2,132.738,3
PC-18745,3,4,1832.064,1
PC-19000,883,2,1061.488,3
PF-19120,836,4,9062.864,3
PF-19165,197,6,2770.0,1
PF-19225,115,5,2206.128,1
PG-18820,37,13,3086.907,0
PG-18895,58,9,1987.164,0
PH-18790,71,1,729.648,1
PJ-18835,40,8,1220.09,0
PJ-19015,135,7,1824.234,0
PK-18910,484,2,1441.152,3
PK-19075,10,12,8646.934,2
PL-18925,16,5,239.481,1
PM-18940,387,3,1405.402,3
PM-19135,52,4,4115.662,1
PN-18775,31,8,1467.152,0
PO-18850,5,11,7473.8282,2
PO-18865,1,7,2493.214,0
PO-19180,161,9,4893.043,0
PO-19195,87,5,1056.858,1
PP-18955,98,10,7252.608,2
PR-18880,37,5,1840.178,1
PS-18760,108,6,2181.479,1
PS-18970,70,8,1278.639,0
PS-19045,237,7,6843.634,2
PT-19090,72,4,160.572,1
PV-18985,90,5,2876.046,1
PW-19030,47,10,3454.916,0
PW-19240,465,7,3922.415,3
QJ-19255,26,9,6108.338,0
RA-19285,6,9,2617.906,0
RA-19885,44,7,3832.314,0
RA-19915,13,9,4793.543,0
RA-19945,62,5,1686.9225,1
RB-19330,69,2,1008.196,1
RB-19360,97,6,15117.339,2
RB-19435,20,8,2663.086,0
RB-19465,10,12,4715.466,0
RB-19570,26,5,528.546,1
RB-19645,649,5,221.084,3
RB-19705,55,4,2067.45,1
RB-19795,33,8,5633.316000000001,0
RC-19825,370,6,966.409,3
RC-19960,111,6,885.752,1
RD-19480,73,8,4272.93,0
RD-19585,181,10,2912.894,0
RD-19660,115,5,2786.632,1
RD-19720,22,10,1419.737,0
RD-19810,15,8,1137.616,0
RD-19900,115,9,3133.924,0
RD-19930,43,4,970.942,1
RE-19405,1098,1,48.36,3
RE-19450,303,5,876.696,1
RF-19345,391,8,3309.15,0
RF-19735,90,7,2341.2960000000003,0
RF-19840,7,8,945.222,0
RH-19495,33,5,3621.376,1
RH-19510,468,6,6979.18,2
RH-19555,520,2,740.382,3
RH-19600,535,3,2085.74,3
RK-19300,120,3,1460.192,1
RL-19615,122,8,6234.91,0
RM-19375,346,6,1453.474,1
RM-19675,7,5,5979.0960000000005,1
RM-19750,300,1,98.35,3
RO-19780,36,7,3815.478,0
RP-19270,497,4,954.6452,3
RP-19390,34,12,5153.084,0
RP-19855,29,8,2170.716,0
RR-19315,20,2,615.932,1
RR-19525,171,6,3302.262,1
RS-19420,77,5,3221.29,1
RS-19765,37,8,4159.77,0
RS-19870,20,2,22.328,1
RW-19540,121,7,7397.401,2
RW-19630,90,9,3279.746,0
RW-19690,80,5,3495.646,1
SA-20830,64,10,4767.3415,0
SB-20170,202,3,1348.02,1
SB-20185,189,6,6410.996,2
SB-20290,48,7,8057.891,2
SC-20020,782,5,3362.9636,3
SC-20050,41,9,4624.572,0
SC-20095,350,9,14142.334,2
SC-20230,150,4,4371.9580000000005,1
SC-20260,188,8,3729.793,0
SC-20305,30,7,3979.065,0
SC-20380,31,9,5992.536,0
SC-20440,37,7,1874.998,0
SC-20575,93,5,902.728,1
SC-20680,127,6,1254.64,1
SC-20695,90,10,2576.408,0
SC-20725,188,11,5226.21,0
SC-20770,42,7,4492.657,0
SC-20800,31,4,279.25600000000003,1
SC-20845,132,2,280.632,1
SD-20485,201,9,6121.114,0
SE-20110,10,11,12209.438000000002,2
SF-20065,60,7,763.5459999999999,1
SF-20200,60,9,3422.786,0
SF-20965,49,9,3336.535,0
SG-20080,9,3,3406.581,1
SG-20470,184,8,1884.798,0
SG-20605,109,6,3124.832,1
SG-20890,227,3,47.946,1
SH-19975,30,13,3406.8395,0
SH-20395,24,10,2180.718,0
SH-20635,766,2,2096.392,3
SJ-20125,96,12,3949.656,0
SJ-20215,30,6,1341.036,1
SJ-20500,254,5,1318.776,1
SK-19990,9,3,883.409,1
SL-20155,71,7,3053.012,0
SM-20005,422,4,244.494,3
SM-20320,80,5,25043.05,2
SM-20905,607,1,1043.041,3
SM-20950,26,12,5563.392,0
SN-20560,112,6,1860.418,1
SN-20710,80,7,3127.9592,0
SO-20335,30,6,2602.5755,1
SP-20545,328,6,1306.086,1
SP-20620,48,9,5440.319,0
SP-20650,387,9,1872.436,0
SP-20860,80,10,4282.94,0
SP-20920,71,6,3990.689,0
SR-20425,9,5,3233.481,1
SR-20740,197,8,4345.886,0
SS-20140,16,8,1324.028,0
SS-20410,111,6,3056.807,1
SS-20515,492,3,613.4,3
SS-20590,433,6,418.49,3
SS-20875,121,5,964.636,1
ST-20530,126,7,433.34,1
SU-20665,21,7,2595.364,0
SV-20365,102,10,11470.95,2
SV-20785,321,9,4105.305,0
SV-20815,77,4,1271.09,1
SV-20935,3,8,1903.491,0
SW-20245,82,7,1085.078,1
SW-20275,31,6,1966.65,1
SW-20350,163,3,1019.044,1
SW-20455,163,7,2921.544,0
SW-20755,535,2,758.6959999999999,3
SZ-20035,36,11,3625.329,0
TA-21385,70,4,14595.62,2
TB-21055,120,5,1467.881,1
TB-21175,59,4,3589.296,1
TB-21190,50,4,816.1740000000001,1
TB-21250,350,7,1602.376,1
TB-21280,584,6,2198.45,3
TB-21355,147,5,834.328,1
TB-21400,203,7,9133.99,2
TB-21520,108,9,4737.486,0
TB-21595,286,5,1387.559,1
TB-21625,31,9,2797.668,0
TC-20980,400,5,19052.218,2
TC-21145,107,1,1038.26,1
TC-21295,28,8,4266.812,0
TC-21475,154,9,1244.976,0
TC-21535,5,7,742.5580000000001,1
TD-20995,38,9,1434.5480000000002,0
TG-21310,338,5,3058.372,1
TG-21640,115,4,2074.661,1
TH-21100,345,5,2422.824,3
TH-21115,59,4,2942.772,1
TH-21235,118,8,1022.201,0
TH-21550,73,7,4234.0960000000005,0
TM-21010,104,8,2955.226,0
TM-21490,131,3,1094.678,1
TN-21040,91,7,3130.221,0
TP-21130,9,9,4454.0560000000005,0
TP-21415,105,5,5329.0048,1
TP-21565,351,4,1936.64,3
TR-21325,194,5,675.9419999999999,1
TS-21085,358,2,4.833,3
TS-21160,505,6,2163.6240000000003,3
TS-21205,199,7,5371.09,0
TS-21340,227,5,974.782,1
TS-21370,37,6,11891.751,2
TS-21430,173,5,2054.14,1
TS-21505,12,6,2243.274,1
TS-21610,56,7,2820.424,0
TS-21655,239,5,3368.094,1
TT-21070,32,7,4915.602,0
TT-21220,184,8,1427.044,0
TT-21265,407,3,439.5,3
TT-21460,13,7,5364.808,0
TW-21025,65,7,5278.826,0
TZ-21580,36,4,1707.286,1
VB-21745,55,6,2005.596,1
VD-21670,582,6,6442.254,3
VF-21715,14,5,847.944,1
VG-21790,155,6,846.01,1
VG-21805,287,5,427.372,1
VM-21685,55,7,2454.866,0
VM-21835,118,5,380.69,1
VP-21730,31,3,993.902,1
VP-21760,76,7,3360.526,0
VS-21820,222,4,1055.981,1
VT-21700,1001,2,1736.596,3
VW-21775,29,10,6134.0380000000005,0
WB-21850,21,11,6160.102,0
XP-21865,44,11,2374.658,0
YC-21895,5,5,5454.35,1
YS-21880,10,8,6720.444,2
ZC-21910,55,13,8025.707,2
ZD-21925,203,5,1493.944,1
